epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.1974,0.0902,0.5485,0.7837,0.0240
1,0.8412,0.0086,0.8460,0.9111,0.0055
2,0.9505,0.0021,0.9165,0.9530,0.0030
3,0.9658,0.0014,0.9719,0.9815,0.0024
4,0.9816,0.0007,0.9719,0.9757,0.0037
5,0.9849,0.0006,0.9788,0.9870,0.0009
6,0.9903,0.0004,0.9789,0.9863,0.0011
7,0.9911,0.0004,0.9579,0.9815,0.0016
8,0.9881,0.0004,0.9835,0.9894,0.0007
9,0.9938,0.0002,0.9812,0.9873,0.0011
10,0.9906,0.0004,0.7463,0.9244,0.0099
11,0.9728,0.0010,0.9789,0.9835,0.0011
12,0.9910,0.0003,0.9805,0.9879,0.0006
13,0.9931,0.0003,0.9872,0.9898,0.0006
14,0.9981,0.0001,0.9894,0.9913,0.0007
15,0.9990,0.0000,0.9892,0.9911,0.0007
16,0.9994,0.0000,0.9852,0.9904,0.0005
17,0.9998,0.0000,0.9874,0.9902,0.0005
18,1.0000,0.0000,0.9884,0.9908,0.0006
19,1.0000,0.0000,0.9890,0.9912,0.0005
